type,commodity,commodity_origin_iso2,commodity_origin_country,commodity_destination_iso2,commodity_destination_country,date,value_m3
crossborder,natural_gas,DZ,Algeria,ES,Spain,2023-01-01,27657620.95781023
production,natural_gas,ES,Spain,ES,Spain,2023-01-01,107040.8139685277
crossborder,natural_gas,lng,LNG,ES,Spain,2023-01-01,29937485.12250491
crossborder,natural_gas,EE,Estonia,FI,Finland,2023-01-01,2173465.0595454546
crossborder,natural_gas,BE,Belgium,FR,France,2023-01-01,6618719.834141609
crossborder,natural_gas,ES,Spain,FR,France,2023-01-01,10579401.801233169
crossborder,natural_gas,NO,Norway,FR,France,2023-01-01,38307193.99824561
crossborder,natural_gas,lng,LNG,FR,France,2023-01-01,104975226.66938192
crossborder,natural_gas,AZ,Azerbaijan,GR,Greece,2023-01-02,33145572.31063478
production,natural_gas,HR,Croatia,HR,Croatia,2023-01-01,1371930.7673720133
crossborder,natural_gas,SI,Slovenia,HR,Croatia,2023-01-01,313558.60414489725
crossborder,natural_gas,lng,LNG,HR,Croatia,2023-01-01,7408199.412703948
crossborder,natural_gas,AT,Austria,HU,Hungary,2023-01-02,871473.701777875
crossborder,natural_gas,HR,Croatia,HU,Hungary,2023-01-02,2142569.021095261
production,natural_gas,HU,Hungary,HU,Hungary,2023-01-02,-3035710.125579006
crossborder,natural_gas,RO,Romania,HU,Hungary,2023-01-02,541181.9662969027
crossborder,natural_gas,RS,Serbia,HU,Hungary,2023-01-02,9630690.90009266
crossborder,natural_gas,RU,Russia,HU,Hungary,2023-01-02,91.84536757212558
crossborder,natural_gas,GB,United Kingdom,IE,Ireland,2023-01-01,18003189.35774767
crossborder,natural_gas,CH,Switzerland,IT,Italy,2023-01-01,17593983.071566343
crossborder,natural_gas,DZ,Algeria,IT,Italy,2023-01-01,55426156.516151145
crossborder,natural_gas,GR,Greece,IT,Italy,2023-01-02,26029907.852265935
production,natural_gas,IT,Italy,IT,Italy,2023-01-01,5819876.534809717
crossborder,natural_gas,LY,Libya,IT,Italy,2023-01-01,7020683.416855498
crossborder,natural_gas,lng,LNG,IT,Italy,2023-01-01,46566430.05262504
crossborder,natural_gas,RU,Russia,LT,Lithuania,2023-01-01,4988269.000011699
crossborder,natural_gas,RU,Russia,LT,Lithuania,2023-01-02,4783369.129278066
crossborder,natural_gas,lng,LNG,LT,Lithuania,2023-01-01,9516363.370826924
crossborder,natural_gas,lng,LNG,LT,Lithuania,2023-01-02,10464331.093569288
crossborder,natural_gas,BE,Belgium,LU,Luxembourg,2023-01-01,1218763.2583732058
crossborder,natural_gas,LT,Lithuania,LV,Latvia,2023-01-01,4665873.351751264
crossborder,natural_gas,LT,Lithuania,LV,Latvia,2023-01-02,5766062.869833814
crossborder,natural_gas,ES,Spain,MA,Morocco,2023-01-01,1771933.635897436
crossborder,natural_gas,RU,Russia,MD,Moldova,2023-01-01,6398060.835554877
crossborder,natural_gas,BG,Bulgaria,MK,Macedonia,2023-01-01,1031838.8408892762
crossborder,natural_gas,BE,Belgium,NL,Netherlands,2023-01-01,33975721.226706065
crossborder,natural_gas,DE,Germany,NL,Netherlands,2023-01-01,22732999.780909088
production,natural_gas,NL,Netherlands,NL,Netherlands,2023-01-01,45211486.15071586
crossborder,natural_gas,NO,Norway,NL,Netherlands,2023-01-01,27787038.690129865
crossborder,natural_gas,GB,United Kingdom,NL,Netherlands,2023-01-01,4.487498703184977
crossborder,natural_gas,lng,LNG,NL,Netherlands,2023-01-01,48584573.76671807
crossborder,natural_gas,DE,Germany,PL,Poland,2023-01-01,1703311.2523096458
crossborder,natural_gas,DE,Germany,PL,Poland,2023-01-02,1972344.0518864552
crossborder,natural_gas,DK,Denmark,PL,Poland,2023-01-01,13864198.74978614
crossborder,natural_gas,DK,Denmark,PL,Poland,2023-01-02,14756180.413772404
crossborder,natural_gas,LT,Lithuania,PL,Poland,2023-01-01,1461520.8766867523
crossborder,natural_gas,LT,Lithuania,PL,Poland,2023-01-02,1279400.8803746277
production,natural_gas,PL,Poland,PL,Poland,2023-01-01,6469481.8640122935
production,natural_gas,PL,Poland,PL,Poland,2023-01-02,6266297.7157890005
crossborder,natural_gas,lng,LNG,PL,Poland,2023-01-01,17673834.32740558
crossborder,natural_gas,lng,LNG,PL,Poland,2023-01-02,20384565.12323944
crossborder,natural_gas,ES,Spain,PT,Portugal,2023-01-01,2296468.1580379233
crossborder,natural_gas,ES,Spain,PT,Portugal,2023-01-02,69549.09490164951
crossborder,natural_gas,lng,LNG,PT,Portugal,2023-01-01,2968826.2237634687
crossborder,natural_gas,lng,LNG,PT,Portugal,2023-01-02,6495728.829629025
crossborder,natural_gas,BG,Bulgaria,RO,Romania,2023-01-01,922650.6832214472
production,natural_gas,RO,Romania,RO,Romania,2023-01-01,24090909.602448795
crossborder,natural_gas,BG,Bulgaria,RS,Serbia,2023-01-01,18402612.091016084
crossborder,natural_gas,HU,Hungary,RS,Serbia,2023-01-02,900648.9132833474
crossborder,natural_gas,LT,Lithuania,RU,Russia,2023-01-01,4405020.374794679
crossborder,natural_gas,LT,Lithuania,RU,Russia,2023-01-02,4616304.222133452
crossborder,natural_gas,AT,Austria,SI,Slovenia,2023-01-01,1009198.1965381372
crossborder,natural_gas,IT,Italy,SI,Slovenia,2023-01-01,1197104.3260018122
crossborder,natural_gas,CZ,Czech Republic,SK,Slovakia,2023-01-02,2913572.916196755
crossborder,natural_gas,HU,Hungary,SK,Slovakia,2023-01-02,4723118.189806677
crossborder,natural_gas,RU,Russia,SK,Slovakia,2023-01-01,36148780.201380394
crossborder,natural_gas,IT,Italy,SM,San Marino,2023-01-01,117260.081636393
crossborder,natural_gas,HU,Hungary,UA,Ukraine,2023-01-02,1169162.330684829
crossborder,natural_gas,RU,Russia,UA,Ukraine,2023-01-01,61617.29674650096
crossborder,natural_gas,RU,Russia,UA,Ukraine,2023-01-01,41706251.909164995
crossborder,natural_gas,SK,Slovakia,UA,Ukraine,2023-01-01,5706603.351312486
crossborder,natural_gas,IE,Ireland,GB,United Kingdom,2023-01-01,48121.78032230704
crossborder,natural_gas,NL,Netherlands,GB,United Kingdom,2023-01-01,797566.1314124784
crossborder,natural_gas,NO,Norway,GB,United Kingdom,2023-01-01,141920952.64665407
production,natural_gas,GB,United Kingdom,GB,United Kingdom,2023-01-01,54895515.84091019
crossborder,natural_gas,lng,LNG,GB,United Kingdom,2023-01-01,37133929.5485128
crossborder,natural_gas,DE,Germany,AT,Austria,2023-01-03,2542444.7425592477
crossborder,natural_gas,DE,Germany,AT,Austria,2023-01-04,18500333.362070303
crossborder,natural_gas,DE,Germany,AT,Austria,2023-01-05,17111908.3039615
crossborder,natural_gas,IT,Italy,AT,Austria,2023-01-03,7505268.541810642
crossborder,natural_gas,IT,Italy,AT,Austria,2023-01-04,201679.67067410907
crossborder,natural_gas,SK,Slovakia,AT,Austria,2023-01-03,23563021.826307796
crossborder,natural_gas,SK,Slovakia,AT,Austria,2023-01-04,19298735.62852919
crossborder,natural_gas,SK,Slovakia,AT,Austria,2023-01-05,17488335.570128333
crossborder,natural_gas,FR,France,BE,Belgium,2023-01-02,24225779.981003366
crossborder,natural_gas,FR,France,BE,Belgium,2023-01-03,23667168.42363683
crossborder,natural_gas,FR,France,BE,Belgium,2023-01-04,19573810.386404756
crossborder,natural_gas,NL,Netherlands,BE,Belgium,2023-01-02,19429138.23577086
crossborder,natural_gas,NL,Netherlands,BE,Belgium,2023-01-03,12366970.03101789
crossborder,natural_gas,NL,Netherlands,BE,Belgium,2023-01-04,11156735.954180203
crossborder,natural_gas,NO,Norway,BE,Belgium,2023-01-02,43379877.55287922
crossborder,natural_gas,NO,Norway,BE,Belgium,2023-01-03,43518037.84076157
crossborder,natural_gas,NO,Norway,BE,Belgium,2023-01-04,43514990.976262406
crossborder,natural_gas,GB,United Kingdom,BE,Belgium,2023-01-02,35913125.03154297
crossborder,natural_gas,GB,United Kingdom,BE,Belgium,2023-01-03,49305855.60094471
crossborder,natural_gas,GB,United Kingdom,BE,Belgium,2023-01-04,48303900.55932793
crossborder,natural_gas,lng,LNG,BE,Belgium,2023-01-02,35350816.63969188
crossborder,natural_gas,lng,LNG,BE,Belgium,2023-01-03,33363136.369587988
crossborder,natural_gas,lng,LNG,BE,Belgium,2023-01-04,41636406.27342456
crossborder,natural_gas,CH,Switzerland,BG,Bulgaria,2023-01-03,3782067.7741251527
crossborder,natural_gas,CH,Switzerland,BG,Bulgaria,2023-01-04,3782617.831050322
crossborder,natural_gas,CH,Switzerland,BG,Bulgaria,2023-01-05,3779976.627936931
crossborder,natural_gas,GR,Greece,BG,Bulgaria,2023-01-03,4977181.228264983
crossborder,natural_gas,GR,Greece,BG,Bulgaria,2023-01-04,5393660.880365328
crossborder,natural_gas,GR,Greece,BG,Bulgaria,2023-01-05,5993062.416772801
crossborder,natural_gas,RU,Russia,BG,Bulgaria,2023-01-02,24057166.893960495
crossborder,natural_gas,RU,Russia,BG,Bulgaria,2023-01-03,24311637.47183115
crossborder,natural_gas,RU,Russia,BG,Bulgaria,2023-01-04,24515035.40122081
crossborder,natural_gas,DE,Germany,CH,Switzerland,2023-01-02,1815202.3557734396
crossborder,natural_gas,DE,Germany,CH,Switzerland,2023-01-03,1018.7034929528144
crossborder,natural_gas,DE,Germany,CH,Switzerland,2023-01-04,4431854.5529046515
crossborder,natural_gas,FR,France,CH,Switzerland,2023-01-02,23045875.99649737
crossborder,natural_gas,FR,France,CH,Switzerland,2023-01-03,22818142.63298338
crossborder,natural_gas,FR,France,CH,Switzerland,2023-01-04,23359705.418989543
crossborder,natural_gas,IT,Italy,CH,Switzerland,2023-01-02,402823.5033710965
crossborder,natural_gas,IT,Italy,CH,Switzerland,2023-01-03,412814.6221422907
crossborder,natural_gas,IT,Italy,CH,Switzerland,2023-01-04,452969.2234080194
crossborder,natural_gas,DE,Germany,CZ,Czech Republic,2023-01-03,26247495.501833152
crossborder,natural_gas,DE,Germany,CZ,Czech Republic,2023-01-04,28488804.03925581
crossborder,natural_gas,DE,Germany,CZ,Czech Republic,2023-01-05,26299807.870970283
crossborder,natural_gas,AT,Austria,DE,Germany,2023-01-03,324493.76289553527
crossborder,natural_gas,BE,Belgium,DE,Germany,2023-01-02,71712107.28886631
crossborder,natural_gas,BE,Belgium,DE,Germany,2023-01-03,73153887.9757262
crossborder,natural_gas,BE,Belgium,DE,Germany,2023-01-04,75375305.23832834
production,natural_gas,DE,Germany,DE,Germany,2023-01-03,11582900.59054153
production,natural_gas,DE,Germany,DE,Germany,2023-01-04,11831633.731381811
production,natural_gas,DE,Germany,DE,Germany,2023-01-05,13264620.886532417
crossborder,natural_gas,FR,France,DE,Germany,2023-01-02,28214261.242634296
crossborder,natural_gas,FR,France,DE,Germany,2023-01-03,25303700.776037943
crossborder,natural_gas,FR,France,DE,Germany,2023-01-04,26081309.09660817
crossborder,natural_gas,NL,Netherlands,DE,Germany,2023-01-03,83197266.60588063
crossborder,natural_gas,NL,Netherlands,DE,Germany,2023-01-04,86184178.77527569
crossborder,natural_gas,NL,Netherlands,DE,Germany,2023-01-05,82968199.7314929
crossborder,natural_gas,NO,Norway,DE,Germany,2023-01-03,116458384.7323617
crossborder,natural_gas,NO,Norway,DE,Germany,2023-01-04,117248988.4195142
crossborder,natural_gas,NO,Norway,DE,Germany,2023-01-05,116952700.28063989
crossborder,natural_gas,lng,LNG,DE,Germany,2023-01-03,4735887.740208987
crossborder,natural_gas,lng,LNG,DE,Germany,2023-01-04,9353563.234881066
crossborder,natural_gas,lng,LNG,DE,Germany,2023-01-05,9355398.259034555
crossborder,natural_gas,DE,Germany,DK,Denmark,2023-01-02,4383204.115181888
crossborder,natural_gas,DE,Germany,DK,Denmark,2023-01-03,475985.54940301087
crossborder,natural_gas,DE,Germany,DK,Denmark,2023-01-04,2071457.4915635544
crossborder,natural_gas,DZ,Algeria,ES,Spain,2023-01-02,27815369.441646032
crossborder,natural_gas,DZ,Algeria,ES,Spain,2023-01-03,27776097.86122484
crossborder,natural_gas,DZ,Algeria,ES,Spain,2023-01-04,27885041.914993588
production,natural_gas,ES,Spain,ES,Spain,2023-01-02,105552.39236515955
production,natural_gas,ES,Spain,ES,Spain,2023-01-03,105081.95448460508
production,natural_gas,ES,Spain,ES,Spain,2023-01-04,51798.55464870233
crossborder,natural_gas,FR,France,ES,Spain,2023-01-02,64141.23888128635
crossborder,natural_gas,FR,France,ES,Spain,2023-01-03,6733970.494096508
crossborder,natural_gas,FR,France,ES,Spain,2023-01-04,3417274.218884489
crossborder,natural_gas,lng,LNG,ES,Spain,2023-01-02,49789149.10041179
crossborder,natural_gas,lng,LNG,ES,Spain,2023-01-03,52757274.47934257
crossborder,natural_gas,lng,LNG,ES,Spain,2023-01-04,47899545.190213345
crossborder,natural_gas,EE,Estonia,FI,Finland,2023-01-02,2464618.8763636365
crossborder,natural_gas,EE,Estonia,FI,Finland,2023-01-03,2990027.5786363636
crossborder,natural_gas,EE,Estonia,FI,Finland,2023-01-04,3370669.7563636363
crossborder,natural_gas,BE,Belgium,FR,France,2023-01-02,9661160.24660194
crossborder,natural_gas,BE,Belgium,FR,France,2023-01-03,165302.74151309405
crossborder,natural_gas,ES,Spain,FR,France,2023-01-02,3608508.829813707
crossborder,natural_gas,ES,Spain,FR,France,2023-01-03,1587565.0965644992
crossborder,natural_gas,ES,Spain,FR,France,2023-01-04,26661.924686192466
crossborder,natural_gas,NO,Norway,FR,France,2023-01-02,38112479.656716414
crossborder,natural_gas,NO,Norway,FR,France,2023-01-03,44097238.57644991
crossborder,natural_gas,NO,Norway,FR,France,2023-01-04,46742129.17194372
crossborder,natural_gas,lng,LNG,FR,France,2023-01-02,111781020.50988065
crossborder,natural_gas,lng,LNG,FR,France,2023-01-03,116030692.43595076
crossborder,natural_gas,lng,LNG,FR,France,2023-01-04,111679392.51388952
crossborder,natural_gas,AZ,Azerbaijan,GR,Greece,2023-01-03,33166456.622508097
crossborder,natural_gas,AZ,Azerbaijan,GR,Greece,2023-01-04,33650365.43849484
crossborder,natural_gas,AZ,Azerbaijan,GR,Greece,2023-01-05,31882734.69732088
production,natural_gas,HR,Croatia,HR,Croatia,2023-01-02,1423041.5671313533
production,natural_gas,HR,Croatia,HR,Croatia,2023-01-03,1429002.8119660406
production,natural_gas,HR,Croatia,HR,Croatia,2023-01-04,1407822.7252470078
crossborder,natural_gas,SI,Slovenia,HR,Croatia,2023-01-02,440417.4098867147
crossborder,natural_gas,SI,Slovenia,HR,Croatia,2023-01-03,516123.87547594326
crossborder,natural_gas,SI,Slovenia,HR,Croatia,2023-01-04,320995.1181409036
crossborder,natural_gas,lng,LNG,HR,Croatia,2023-01-02,7087772.462654329
crossborder,natural_gas,lng,LNG,HR,Croatia,2023-01-03,6850045.801886293
crossborder,natural_gas,lng,LNG,HR,Croatia,2023-01-04,6968213.263713483
crossborder,natural_gas,AT,Austria,HU,Hungary,2023-01-03,1127439.8754924124
crossborder,natural_gas,AT,Austria,HU,Hungary,2023-01-04,446107.14242605906
crossborder,natural_gas,AT,Austria,HU,Hungary,2023-01-05,753201.7705358155
crossborder,natural_gas,HR,Croatia,HU,Hungary,2023-01-03,1556207.7046617223
crossborder,natural_gas,HR,Croatia,HU,Hungary,2023-01-04,1447035.7105638513
crossborder,natural_gas,HR,Croatia,HU,Hungary,2023-01-05,1179091.7293466467
production,natural_gas,HU,Hungary,HU,Hungary,2023-01-03,-3055085.431715558
production,natural_gas,HU,Hungary,HU,Hungary,2023-01-04,-3059120.08610208
production,natural_gas,HU,Hungary,HU,Hungary,2023-01-05,-3128723.8542849524
crossborder,natural_gas,RO,Romania,HU,Hungary,2023-01-03,876527.2113390851
crossborder,natural_gas,RS,Serbia,HU,Hungary,2023-01-03,9637735.17305476
crossborder,natural_gas,RS,Serbia,HU,Hungary,2023-01-04,9629272.937700637
crossborder,natural_gas,RS,Serbia,HU,Hungary,2023-01-05,9622998.882099412
crossborder,natural_gas,RU,Russia,HU,Hungary,2023-01-03,275.7394980495677
crossborder,natural_gas,RU,Russia,HU,Hungary,2023-01-04,91.98011032556512
crossborder,natural_gas,RU,Russia,HU,Hungary,2023-01-05,183.93725629948057
crossborder,natural_gas,GB,United Kingdom,IE,Ireland,2023-01-02,16674364.40677966
crossborder,natural_gas,GB,United Kingdom,IE,Ireland,2023-01-03,12547744.78135593
crossborder,natural_gas,GB,United Kingdom,IE,Ireland,2023-01-04,12127189.803556306
crossborder,natural_gas,AT,Austria,IT,Italy,2023-01-04,831344.8012193027
crossborder,natural_gas,AT,Austria,IT,Italy,2023-01-05,6246865.758323331
crossborder,natural_gas,CH,Switzerland,IT,Italy,2023-01-02,20430267.631548617
crossborder,natural_gas,CH,Switzerland,IT,Italy,2023-01-03,13047182.997821694
crossborder,natural_gas,CH,Switzerland,IT,Italy,2023-01-04,22096185.473639507
crossborder,natural_gas,DZ,Algeria,IT,Italy,2023-01-02,46837208.08942044
crossborder,natural_gas,DZ,Algeria,IT,Italy,2023-01-03,46768079.1849315
crossborder,natural_gas,DZ,Algeria,IT,Italy,2023-01-04,49252040.393229544
crossborder,natural_gas,GR,Greece,IT,Italy,2023-01-03,24347824.566942573
crossborder,natural_gas,GR,Greece,IT,Italy,2023-01-04,24683494.19539249
crossborder,natural_gas,GR,Greece,IT,Italy,2023-01-05,22584247.09385665
production,natural_gas,IT,Italy,IT,Italy,2023-01-02,5824826.019613825
production,natural_gas,IT,Italy,IT,Italy,2023-01-03,6070795.711077494
production,natural_gas,IT,Italy,IT,Italy,2023-01-04,6717945.6828007605
crossborder,natural_gas,LY,Libya,IT,Italy,2023-01-02,8518757.23881893
crossborder,natural_gas,LY,Libya,IT,Italy,2023-01-03,8536933.33955752
crossborder,natural_gas,LY,Libya,IT,Italy,2023-01-04,8504313.057541411
crossborder,natural_gas,lng,LNG,IT,Italy,2023-01-02,47252781.85168888
crossborder,natural_gas,lng,LNG,IT,Italy,2023-01-03,45802577.92461172
crossborder,natural_gas,lng,LNG,IT,Italy,2023-01-04,47882169.132133216
crossborder,natural_gas,RU,Russia,LT,Lithuania,2023-01-03,5024419.085573061
crossborder,natural_gas,RU,Russia,LT,Lithuania,2023-01-04,5686569.823204157
crossborder,natural_gas,RU,Russia,LT,Lithuania,2023-01-05,6695780.096142154
crossborder,natural_gas,PL,Poland,LT,Lithuania,2023-01-05,431898.79317395674
crossborder,natural_gas,lng,LNG,LT,Lithuania,2023-01-03,10175433.74653926
crossborder,natural_gas,lng,LNG,LT,Lithuania,2023-01-04,10286198.392170902
crossborder,natural_gas,lng,LNG,LT,Lithuania,2023-01-05,10259806.77833251
crossborder,natural_gas,BE,Belgium,LU,Luxembourg,2023-01-02,1445031.6098451903
crossborder,natural_gas,BE,Belgium,LU,Luxembourg,2023-01-03,1712870.3383588942
crossborder,natural_gas,BE,Belgium,LU,Luxembourg,2023-01-04,1747966.393109998
crossborder,natural_gas,LT,Lithuania,LV,Latvia,2023-01-03,7381720.325697195
crossborder,natural_gas,LT,Lithuania,LV,Latvia,2023-01-04,7963144.557845294
crossborder,natural_gas,LT,Lithuania,LV,Latvia,2023-01-05,7617671.667410225
crossborder,natural_gas,ES,Spain,MA,Morocco,2023-01-02,1768405.7297459147
crossborder,natural_gas,ES,Spain,MA,Morocco,2023-01-03,1805005.612680263
crossborder,natural_gas,ES,Spain,MA,Morocco,2023-01-04,1770565.6435938964
crossborder,natural_gas,RU,Russia,MD,Moldova,2023-01-02,9054952.006867316
crossborder,natural_gas,RU,Russia,MD,Moldova,2023-01-03,7036714.595814314
crossborder,natural_gas,RU,Russia,MD,Moldova,2023-01-04,8758754.655814746
crossborder,natural_gas,BG,Bulgaria,MK,Macedonia,2023-01-02,1161843.9982563208
crossborder,natural_gas,BG,Bulgaria,MK,Macedonia,2023-01-03,1221300.928509154
crossborder,natural_gas,BG,Bulgaria,MK,Macedonia,2023-01-04,1177304.7611159545
crossborder,natural_gas,BE,Belgium,NL,Netherlands,2023-01-02,35638354.14925653
crossborder,natural_gas,BE,Belgium,NL,Netherlands,2023-01-03,41285721.8646855
crossborder,natural_gas,BE,Belgium,NL,Netherlands,2023-01-04,45327980.62063167
crossborder,natural_gas,DE,Germany,NL,Netherlands,2023-01-02,17881053.17837955
crossborder,natural_gas,DE,Germany,NL,Netherlands,2023-01-03,24438527.85108131
crossborder,natural_gas,DE,Germany,NL,Netherlands,2023-01-04,9925247.76164502
production,natural_gas,NL,Netherlands,NL,Netherlands,2023-01-02,45073703.54866706
production,natural_gas,NL,Netherlands,NL,Netherlands,2023-01-03,44948341.67398917
production,natural_gas,NL,Netherlands,NL,Netherlands,2023-01-04,52048957.20981557
crossborder,natural_gas,NO,Norway,NL,Netherlands,2023-01-02,24258752.58071924
crossborder,natural_gas,NO,Norway,NL,Netherlands,2023-01-03,28027749.243896097
crossborder,natural_gas,NO,Norway,NL,Netherlands,2023-01-04,19913753.149740256
crossborder,natural_gas,lng,LNG,NL,Netherlands,2023-01-02,48899462.61054103
crossborder,natural_gas,lng,LNG,NL,Netherlands,2023-01-03,48623615.27387137
crossborder,natural_gas,lng,LNG,NL,Netherlands,2023-01-04,49967155.47235287
crossborder,natural_gas,DE,Germany,PL,Poland,2023-01-03,2936993.8273474807
crossborder,natural_gas,DE,Germany,PL,Poland,2023-01-04,6193450.557103932
crossborder,natural_gas,DE,Germany,PL,Poland,2023-01-05,7425573.886321352
crossborder,natural_gas,DK,Denmark,PL,Poland,2023-01-03,14815132.408712087
crossborder,natural_gas,DK,Denmark,PL,Poland,2023-01-04,14570128.826285023
crossborder,natural_gas,DK,Denmark,PL,Poland,2023-01-05,14867885.73830659
crossborder,natural_gas,LT,Lithuania,PL,Poland,2023-01-03,785378.80504216
crossborder,natural_gas,LT,Lithuania,PL,Poland,2023-01-04,423998.7392452508
production,natural_gas,PL,Poland,PL,Poland,2023-01-03,6201891.29974779
production,natural_gas,PL,Poland,PL,Poland,2023-01-04,6211540.143101648
production,natural_gas,PL,Poland,PL,Poland,2023-01-05,6267292.026294321
crossborder,natural_gas,lng,LNG,PL,Poland,2023-01-03,20431894.34336766
crossborder,natural_gas,lng,LNG,PL,Poland,2023-01-04,20434476.899753563
crossborder,natural_gas,lng,LNG,PL,Poland,2023-01-05,10346115.958289333
crossborder,natural_gas,ES,Spain,PT,Portugal,2023-01-03,536133.3408192594
crossborder,natural_gas,ES,Spain,PT,Portugal,2023-01-04,125016.6622091562
crossborder,natural_gas,ES,Spain,PT,Portugal,2023-01-05,2414639.9085326944
crossborder,natural_gas,lng,LNG,PT,Portugal,2023-01-03,14451444.23747287
crossborder,natural_gas,lng,LNG,PT,Portugal,2023-01-04,14482838.563149232
crossborder,natural_gas,lng,LNG,PT,Portugal,2023-01-05,14782660.044700747
crossborder,natural_gas,BG,Bulgaria,RO,Romania,2023-01-02,812945.6457336529
crossborder,natural_gas,BG,Bulgaria,RO,Romania,2023-01-03,822028.8358195291
crossborder,natural_gas,BG,Bulgaria,RO,Romania,2023-01-04,355712.68747820397
crossborder,natural_gas,HU,Hungary,RO,Romania,2023-01-04,1868186.0920869568
crossborder,natural_gas,HU,Hungary,RO,Romania,2023-01-05,2482692.8702743896
production,natural_gas,RO,Romania,RO,Romania,2023-01-02,24106828.782101512
production,natural_gas,RO,Romania,RO,Romania,2023-01-03,24003564.11384684
production,natural_gas,RO,Romania,RO,Romania,2023-01-04,24022117.307620317
crossborder,natural_gas,BG,Bulgaria,RS,Serbia,2023-01-02,18307754.302418813
crossborder,natural_gas,BG,Bulgaria,RS,Serbia,2023-01-03,18390427.593928553
crossborder,natural_gas,BG,Bulgaria,RS,Serbia,2023-01-04,19507456.83525101
crossborder,natural_gas,HU,Hungary,RS,Serbia,2023-01-04,463259.6316345961
crossborder,natural_gas,HU,Hungary,RS,Serbia,2023-01-05,896762.484124318
crossborder,natural_gas,LT,Lithuania,RU,Russia,2023-01-03,4703470.795071915
crossborder,natural_gas,LT,Lithuania,RU,Russia,2023-01-04,5255837.758587893
