departure_date_utc,arrival_date_utc,status,commodity_origin_iso2,commodity_destination_iso2,commodity_destination_region,commodity,value_tonne,value_eur
2022-01-15T16:12:00Z,2022-01-30T20:01:00Z,completed,RU,RU,Others,oil_products,6564,3596993.232
2022-01-15T14:21:00Z,2022-01-21T14:31:00Z,completed,RU,NL,EU,oil_products,40558,24707852.484
2022-01-15T11:02:00Z,2022-01-22T21:04:00Z,completed,RU,RU,Others,oil_products,7030,3852355.64
2022-01-15T09:15:00Z,2022-01-22T05:46:00Z,completed,RU,CN,China,crude_oil,106820,59120059.18326663
2022-01-15T09:14:00Z,2022-01-20T23:24:00Z,completed,RU,NL,EU,crude_oil,109999,59731323.58100197
2022-01-15T01:50:00Z,2022-01-21T03:35:00Z,completed,RU,NL,EU,oil_or_chemical,39067,23799538.266
2022-01-14T22:45:00Z,2022-01-18T09:20:00Z,completed,RU,LT,EU,crude_oil,113310,61518297.77744605
2022-01-14T17:09:00Z,2022-01-18T21:09:00Z,completed,RU,SE,EU,oil_or_chemical,38734,23470828.566
2022-01-14T15:48:00Z,2022-02-07T20:26:00Z,completed,RU,US,United States,crude_oil,103560,56224824.9742504
2022-01-14T00:34:00Z,2022-01-17T01:03:00Z,completed,RU,RU,Others,oil_or_chemical,50185,27349670.745
2022-01-13T22:03:00Z,2022-01-30T19:41:00Z,completed,RU,CA,Others,oil_products,50923,27599145.694
2022-01-13T21:42:00Z,2022-01-16T02:00:00Z,completed,RU,PL,EU,crude_oil,109900,58462251.630817346
2022-01-13T18:06:00Z,2022-03-14T08:09:00Z,completed,RU,RU,Others,oil_or_chemical,21870,11853058.86
2022-01-13T14:08:00Z,2022-01-19T11:40:00Z,completed,RU,NL,EU,crude_oil,113095,60161859.40115821
2022-01-13T08:53:00Z,2022-01-21T17:32:00Z,completed,RU,RU,Others,oil_products,7031,3810647.318
2022-01-13T02:45:00Z,2022-01-20T05:17:00Z,completed,RU,TR,Turkey,oil_or_chemical,40007,23155171.446
2022-01-13T01:06:00Z,2022-01-23T05:06:00Z,completed,RU,RU,Others,oil_products,5600,3035076.8
2022-01-12T21:55:00Z,2022-01-18T09:51:00Z,completed,RU,NO,Others,oil_or_chemical,39999,21567780.792
2022-01-12T21:35:00Z,2022-01-20T11:15:00Z,completed,RU,BE,EU,oil_or_chemical,49990,29996549.49
2022-01-12T17:40:00Z,2022-01-14T09:21:00Z,completed,RU,RO,EU,crude_oil,106045,56552311.50473542
2022-01-12T14:03:00Z,2022-01-19T09:51:00Z,completed,RU,NL,EU,crude_oil,113226,60381838.11056789
2022-01-12T09:41:00Z,2022-01-18T05:26:00Z,completed,RU,CN,China,oil_or_chemical,37106,18862760.888
2022-01-12T09:12:00Z,2022-02-05T09:04:00Z,completed,RU,RU,Others,oil_or_chemical,7451,4017638.808
2022-01-12T09:07:00Z,2022-01-19T23:03:00Z,completed,RU,IE,EU,oil_or_chemical,17557,10535095.407
2022-01-12T08:26:00Z,2022-01-17T19:00:00Z,completed,RU,DE,EU,oil_or_chemical,38734,23242375.434
2022-02-19T08:08:00Z,2022-03-08T04:43:00Z,completed,RU,FR,EU,oil_or_chemical,29015,21235091.99
2022-01-12T04:05:00Z,2022-01-23T21:27:00Z,completed,RU,RU,Others,oil_products,5600,3019564.8
2022-01-12T02:50:00Z,2022-01-17T12:02:00Z,completed,RU,GR,EU,oil_or_chemical,37596,22559517.396
2022-01-12T00:47:00Z,2022-01-13T11:34:00Z,completed,RU,RO,EU,crude_oil,158143,84335444.3707235
2022-01-11T23:48:00Z,2022-02-07T17:18:00Z,completed,KZ,TR,Turkey,crude_oil,111964,59458369.99584528
2022-01-11T23:18:00Z,2022-01-24T06:47:00Z,completed,RU,TR,Turkey,oil_or_chemical,6526,3742034.504
2022-01-11T17:51:00Z,2022-01-17T13:20:00Z,completed,RU,RO,EU,oil_products,7004,4184567.816
2022-01-11T14:47:00Z,2022-01-17T20:02:00Z,completed,RU,FR,EU,crude_oil,113004,60010660.953614555
2022-01-11T14:19:00Z,2022-01-26T02:24:00Z,completed,RU,RU,Others,oil_products,6586,3534679.856
2022-01-11T13:55:00Z,2022-01-19T13:09:00Z,completed,RU,RU,Others,oil_products,5530,2967928.88
2022-01-11T13:44:00Z,2022-01-18T15:52:00Z,completed,RU,TR,Turkey,oil_or_chemical,7013,4021282.252
2022-01-11T11:52:00Z,2022-01-17T02:15:00Z,completed,RU,NL,EU,oil_products,50973,30454022.742
2022-01-11T11:23:00Z,2022-01-24T13:21:00Z,completed,RU,EE,EU,oil_products,8269,4940347.126
2022-01-11T09:37:00Z,2022-01-14T08:27:00Z,completed,RU,TR,Turkey,oil_products,38512,22082934.848
2022-01-11T09:14:00Z,2022-01-21T20:44:00Z,completed,RU,NL,EU,crude_oil,114218,60655354.437010616
2022-01-11T04:57:00Z,2022-03-08T04:46:00Z,completed,RU,TW,Others,crude_oil,109980,58404768.784100816
2022-01-11T03:45:00Z,2022-02-16T21:11:00Z,completed,RU,US,United States,oil_products,74875,39225440.125
2022-01-11T02:55:00Z,2022-01-17T14:08:00Z,completed,RU,GB,United Kingdom,oil_or_chemical,37304,22287424.016
2022-01-11T02:46:00Z,2022-01-13T07:20:00Z,completed,RU,BG,EU,crude_oil,116104,61656912.84696528
2022-01-10T22:57:00Z,2022-01-27T14:15:00Z,completed,RU,RU,Others,oil_products,5335,2852827.23
2022-01-10T21:39:00Z,2022-02-17T15:36:00Z,completed,RU,AE,Others,oil_products,146356,78262114.728
2022-01-10T21:13:00Z,2022-01-11T18:33:00Z,completed,RU,EE,EU,oil_products,7031,4184858.231
2022-01-10T18:19:00Z,2022-01-16T04:55:00Z,completed,RU,GR,EU,oil_or_chemical,49995,29757073.995
2022-01-10T17:21:00Z,2022-01-22T12:35:00Z,completed,KZ,IT,EU,crude_oil,107488,54692613.37906088
2022-01-10T16:39:00Z,2022-02-04T13:50:00Z,completed,RU,ES,EU,oil_or_chemical,50922,30308825.322
2022-01-10T15:14:00Z,2022-01-15T12:40:00Z,completed,RU,MD,Others,oil_or_chemical,7509,4015347.642
2022-01-10T10:29:00Z,2022-01-25T19:25:00Z,completed,RU,GB,United Kingdom,oil_products,37252,22172427.652
2022-01-10T10:08:00Z,2022-01-22T03:40:00Z,completed,RU,CN,China,crude_oil,113642,59279007.28660872
2022-01-10T10:07:00Z,2022-01-13T02:31:00Z,completed,RU,DE,EU,oil_products,40600,24165160.6
2022-01-10T07:47:00Z,2022-01-13T22:38:00Z,completed,RU,TR,Turkey,oil_or_chemical,49999,28573378.521
2022-01-10T03:57:00Z,2022-01-18T22:30:00Z,completed,RU,RU,Others,oil_products,7025,3756534.45
2022-01-09T23:50:00Z,2022-01-11T21:10:00Z,completed,RU,PL,EU,oil_or_chemical,39067,23184975.289
2022-01-09T18:01:00Z,2022-01-11T18:56:00Z,completed,RU,LT,EU,crude_oil,113159,57937440.37003394
2022-01-09T14:00:00Z,2022-01-21T04:00:00Z,completed,KZ,IT,EU,crude_oil,111107,56886815.78304298
2022-01-09T13:59:00Z,2022-01-15T03:06:00Z,completed,RU,CN,China,crude_oil,108459,56915890.91685394
2022-01-09T11:23:00Z,2022-01-10T02:19:00Z,completed,RU,EE,EU,oil_or_chemical,15441,9163723.947
2022-01-09T10:47:00Z,2022-01-16T05:58:00Z,completed,RU,RU,Others,oil_products,8245,4395665.095
2022-01-09T10:07:00Z,2022-01-16T02:09:00Z,completed,RU,FR,EU,oil_or_chemical,38734,22987350.778
2022-01-09T09:32:00Z,2022-01-21T09:08:00Z,completed,RU,TR,Turkey,oil_or_chemical,5558,3166587.13
2022-01-09T08:49:00Z,2022-01-15T05:07:00Z,completed,RU,MT,EU,oil_or_chemical,39729,23577850.443
2022-01-09T04:43:00Z,2022-01-12T23:37:00Z,completed,RU,CN,China,crude_oil,101906,53477081.47569974
2022-01-09T04:06:00Z,2022-01-23T10:57:00Z,completed,KZ,TR,Turkey,crude_oil,114055,58396192.62634188
2022-01-09T01:52:00Z,2022-02-23T05:17:00Z,completed,RU,GE,Others,oil_products,38554,20554332.574
2022-01-08T19:00:00Z,2022-01-27T11:13:00Z,completed,RU,IT,EU,crude_oil,103622,53070226.583675005
2022-01-08T17:51:00Z,2022-01-12T15:35:00Z,completed,RU,TR,Turkey,crude_oil,115896,59356381.657771505
2022-01-08T15:16:00Z,2022-01-12T10:31:00Z,completed,RU,RU,Others,oil_products,5534,2940463.23
2022-01-08T14:11:00Z,2022-01-14T22:50:00Z,completed,RU,FR,EU,oil_or_chemical,41000,24254903
2022-01-08T11:55:00Z,2022-01-15T10:55:00Z,completed,RU,RU,Others,oil_or_chemical,5502,2923460.19
2022-01-08T11:44:00Z,2022-01-12T06:55:00Z,completed,RU,NO,Others,oil_products,32310,17167756.95
2022-01-08T11:15:00Z,2022-01-09T08:42:00Z,completed,RU,TR,Turkey,oil_or_chemical,6308,3581707.632
2022-01-08T10:09:00Z,2022-01-12T18:38:00Z,completed,RU,RU,Others,oil_or_chemical,10908,5795911.26
2022-01-08T08:53:00Z,2022-02-15T05:29:00Z,completed,KZ,US,United States,crude_oil,113221,57986374.74696752
2022-01-08T04:30:00Z,2022-01-23T07:24:00Z,completed,RU,GR,EU,oil_or_chemical,39550,23397107.65
2022-01-08T04:28:00Z,2022-01-08T07:18:00Z,completed,RU,RU,Others,oil_or_chemical,6407,3404327.415
2022-01-08T00:57:00Z,2022-01-14T20:09:00Z,completed,RU,FR,EU,oil_or_chemical,37039,21911642.737
2022-01-07T21:19:00Z,2022-01-30T02:52:00Z,completed,KZ,IN,India,crude_oil,157000,80419937.90297106
2022-01-07T14:37:00Z,2022-01-12T11:46:00Z,completed,RU,RU,Others,oil_products,6613,3502502.707
2022-01-07T12:50:00Z,2022-01-08T14:26:00Z,completed,RU,EE,EU,oil_products,6980,4115694.18
2022-01-07T11:29:00Z,2022-01-11T23:16:00Z,completed,RU,NL,EU,oil_or_chemical,39067,23035504.947
2022-01-07T00:22:00Z,2022-01-27T11:30:00Z,completed,RU,DE,EU,oil_or_chemical,46158,27216649.278
2022-01-06T21:28:00Z,2022-02-05T04:32:00Z,completed,RU,US,United States,crude_oil,105472,54099509.0017354
2022-01-06T20:32:00Z,2022-01-14T05:06:00Z,completed,RU,NO,Others,oil_or_chemical,6488,3426500.952
2022-01-06T20:19:00Z,2022-01-12T16:32:00Z,completed,RU,RU,Others,oil_products,6477,3420691.533
2022-01-06T19:14:00Z,2022-01-08T13:24:00Z,completed,RU,RU,Others,oil_products,8490,4483815.21
2022-01-06T16:05:00Z,2022-01-12T07:37:00Z,completed,RU,NL,EU,crude_oil,111107,56989856.51789872
2022-01-06T15:57:00Z,2022-01-07T14:53:00Z,completed,RU,RU,Others,oil_or_chemical,37266,19681255.314
2022-01-06T11:09:00Z,2022-01-15T13:28:00Z,completed,RU,MT,EU,oil_or_chemical,40055,23544489.22
2022-01-06T09:50:00Z,2022-01-10T23:22:00Z,completed,RU,JP,Others,crude_oil,101876,53562899.12255736
2022-01-06T07:52:00Z,2022-01-16T23:54:00Z,completed,RU,RU,Others,oil_products,5600,2957522.4
2022-01-06T04:16:00Z,2022-01-08T07:10:00Z,completed,RU,PL,EU,oil_or_chemical,38734,22768000.136
2022-01-05T18:54:00Z,2022-01-18T13:09:00Z,completed,RU,IT,EU,crude_oil,112870,56850543.74764307
2022-01-05T10:09:00Z,2022-01-13T13:21:00Z,completed,RU,ES,EU,oil_products,74992,43945012.032
2022-01-05T09:20:00Z,2022-01-09T09:56:00Z,completed,RU,NL,EU,oil_or_chemical,19999,11719334.004
2022-01-04T21:36:00Z,2022-01-07T05:32:00Z,completed,RU,DE,EU,oil_products,40558,23689359.988
2022-01-04T16:06:00Z,2022-01-09T18:45:00Z,completed,RU,NL,EU,crude_oil,113170,56249587.48222439
2022-01-04T15:50:00Z,2022-01-31T06:37:00Z,completed,RU,IN,India,oil_or_chemical,49746,26102024.676
2022-01-04T15:38:00Z,2022-01-09T20:58:00Z,completed,RU,NL,EU,crude_oil,109900,54624279.08718265
2022-01-04T14:30:00Z,2022-01-11T10:12:00Z,completed,RU,RU,Others,oil_products,6999,3672417.294
2022-01-04T12:46:00Z,2022-01-19T21:14:00Z,completed,RU,GR,EU,oil_products,7019,4099699.634
2022-01-04T11:27:00Z,2022-01-23T03:41:00Z,completed,RU,PT,EU,oil_or_chemical,38734,22623987.124
2022-01-04T10:40:00Z,2022-01-04T13:33:00Z,completed,RU,RU,Others,oil_products,8490,4454753.94
2022-01-04T10:34:00Z,2022-01-11T16:23:00Z,completed,RU,TR,Turkey,oil_or_chemical,7786,4365213.114
2022-01-04T10:14:00Z,2022-01-15T15:12:00Z,completed,RU,RU,Others,oil_products,6707,3519203.142
2022-01-04T08:57:00Z,2022-01-10T02:57:00Z,completed,RU,GB,United Kingdom,oil_or_chemical,37067,21650315.762
2022-01-04T08:38:00Z,2022-01-11T22:27:00Z,completed,RU,RU,Others,oil_products,5600,2938353.6
2022-01-03T20:07:00Z,2022-01-05T15:48:00Z,completed,RU,LV,EU,oil_products,50923,29639935.842
2022-01-03T16:44:00Z,2022-01-21T18:56:00Z,completed,RU,RU,Others,crude_oil,115000,57737349.37500004
2022-01-03T14:27:00Z,2022-01-20T03:04:00Z,completed,RU,TR,Turkey,crude_oil,108402,52940484.07713859
2022-01-03T14:03:00Z,2022-01-14T20:56:00Z,completed,RU,DK,EU,oil_or_chemical,37620,21896871.48
2022-01-03T12:44:00Z,2022-02-12T08:35:00Z,completed,RU,SG,Others,crude_oil,156572,76465355.55548553
2022-01-03T09:56:00Z,2022-01-04T04:56:00Z,completed,RU,EE,EU,oil_products,13030,7584163.62
2022-01-03T02:29:00Z,2022-01-18T01:46:00Z,completed,RU,BE,EU,oil_or_chemical,37159,21628544.586
2022-01-02T22:21:00Z,2022-01-09T17:34:00Z,completed,RU,FR,EU,oil_or_chemical,40149,23292081.009
2022-01-02T21:23:00Z,2022-02-03T07:16:00Z,completed,RU,TR,Turkey,oil_or_chemical,39575,22042483.5
2022-01-02T20:43:00Z,2022-01-10T04:14:00Z,completed,RU,NL,EU,crude_oil,113563,54308040.49587241
2022-01-02T15:03:00Z,2022-02-07T21:10:00Z,completed,KZ,PL,EU,crude_oil,108932,52093406.01513145
2022-01-02T14:07:00Z,2022-01-25T09:59:00Z,completed,RU,RU,Others,crude_oil,112504,53801606.05080554
2022-01-02T12:33:00Z,2022-01-11T07:15:00Z,completed,RU,CN,China,crude_oil,110828,54506011.63825387
2022-01-02T06:27:00Z,2022-01-02T06:45:00Z,completed,RU,RU,Others,oil_or_chemical,7476,3896237.016
2022-01-01T23:54:00Z,2022-01-18T15:54:00Z,completed,RU,GR,EU,crude_oil,109999,52662515.04188775
2022-01-01T22:15:00Z,2022-01-31T12:47:00Z,completed,RU,BR,Others,crude_oil,109672,52505962.323965795
2022-01-01T21:54:00Z,2022-01-07T06:32:00Z,completed,RU,GR,EU,oil_or_chemical,40174,25393985.4
2022-01-01T20:24:00Z,2022-01-09T00:36:00Z,completed,RU,NL,EU,oil_or_chemical,37623,23781498.3
2022-01-01T19:04:00Z,2022-01-07T04:06:00Z,completed,RU,NL,EU,oil_or_chemical,25084,15855596.4
2022-01-01T06:52:00Z,2022-01-09T14:35:00Z,completed,RU,RU,Others,oil_products,5530,3126822.37
2022-01-01T06:47:00Z,2022-01-28T16:25:00Z,completed,RU,SN,Others,oil_products,38492,21764493.068
2022-01-01T00:34:00Z,2022-01-05T04:44:00Z,completed,RU,TR,Turkey,oil_or_chemical,38396,23269396.652
2022-02-22T17:43:00Z,2022-03-01T19:50:00Z,completed,RU,BE,EU,lng,96865,79221524.575
2022-02-21T21:00:00Z,2022-02-26T00:13:00Z,completed,RU,JP,Others,lng,84598,48309687.9
2022-02-20T00:08:00Z,2022-02-27T00:28:00Z,completed,RU,FR,EU,lng,96796,79453157.476
2022-02-17T00:22:00Z,2022-02-25T08:58:00Z,completed,RU,FR,EU,lng,96821,79679906.981
2022-02-15T20:08:00Z,2022-02-23T06:37:00Z,completed,RU,FR,EU,lng,97000,80385064
2022-02-11T16:50:00Z,2022-02-19T16:27:00Z,completed,RU,FR,EU,lng,96779,80990957.835
2022-02-07T18:06:00Z,2022-02-17T15:33:00Z,completed,RU,FR,EU,lng,96839,81883862.713
2022-02-03T01:00:00Z,2022-02-23T01:48:00Z,completed,RU,CN,China,lng,74127,51577788.981
2022-02-02T21:53:00Z,2022-02-15T08:50:00Z,completed,RU,ES,EU,lng,96958,83158452.65
2022-02-02T07:13:00Z,2022-02-13T00:15:00Z,completed,RU,FR,EU,lng,96865,83078688.875
2022-01-30T12:53:00Z,2022-02-08T18:39:00Z,completed,RU,FR,EU,lng,96821,82121054.854
2022-01-27T02:01:00Z,2022-02-01T03:16:00Z,completed,RU,JP,Others,lng,79555,47710565.49
2022-01-24T17:51:00Z,2022-02-02T10:01:00Z,completed,RU,BE,EU,lng,96779,84465711.051
2022-01-24T17:45:00Z,2022-01-29T03:57:00Z,completed,RU,NL,EU,lng,10441,9112581.129
2022-01-18T23:16:00Z,2022-01-22T05:04:00Z,completed,RU,LT,EU,lng,10445,10413017.41
2022-01-16T02:06:00Z,2022-01-20T22:34:00Z,completed,RU,JP,Others,lng,80889,53593330.506
2022-01-15T14:20:00Z,2022-01-23T05:55:00Z,completed,RU,BE,EU,lng,96958,101302687.98
2022-01-11T19:27:00Z,2022-01-13T08:36:00Z,completed,RU,LT,EU,lng,10445,11416499.895
2022-01-06T15:41:00Z,2022-01-14T21:15:00Z,completed,RU,ES,EU,lng,96840,107915493.96
2022-01-04T09:37:00Z,2022-01-14T15:59:00Z,completed,RU,GB,United Kingdom,lng,96865,107905575.835
2022-01-03T00:49:00Z,2022-01-05T02:20:00Z,completed,RU,LT,EU,lng,9125,10180963.25
2022-02-24T23:55:00Z,2022-03-03T08:55:00Z,completed,RU,FR,EU,crude_oil,109896,68967418.36025596
2022-02-24T18:45:00Z,2022-02-25T10:22:00Z,completed,RU,FI,EU,crude_oil,17006,10672453.197882662
2022-02-24T17:41:00Z,2022-03-21T12:13:00Z,completed,KZ,IN,India,crude_oil,158597,99530698.56665862
2022-02-24T13:10:00Z,2022-07-21T23:13:00Z,completed,RU,KR,South Korea,oil_products,7512,5015289.144
2022-02-24T10:33:00Z,2022-03-05T16:47:00Z,completed,RU,GR,EU,oil_products,45976,34160351.904
2022-02-24T10:04:00Z,2022-02-25T05:49:00Z,completed,RU,EE,EU,oil_products,13030,9681342.12
2022-02-24T09:48:00Z,2022-02-25T23:43:00Z,completed,RU,EE,EU,oil_or_chemical,15441,11472724.764
2022-02-24T06:41:00Z,2022-03-12T17:50:00Z,completed,RU,BE,EU,oil_or_chemical,30720,22825082.88
2022-02-24T05:01:00Z,2022-02-24T05:30:00Z,completed,RU,RU,Others,oil_products,7032,4694823.384
2022-02-24T00:41:00Z,2022-03-16T20:24:00Z,completed,RU,TR,Turkey,crude_oil,112937,70875858.33289863
2022-02-24T00:13:00Z,2022-02-26T08:41:00Z,completed,RU,PL,EU,crude_oil,115091,72227643.83144262
2022-02-23T21:07:00Z,2022-04-17T13:11:00Z,completed,RU,CI,Others,oil_or_chemical,50922,33859870.992
2022-02-23T21:05:00Z,2022-02-23T21:27:00Z,completed,RU,RU,Others,oil_products,7019,4667185.784
2022-02-23T20:19:00Z,2022-02-28T04:21:00Z,completed,RU,TR,Turkey,oil_or_chemical,38396,27278323.012
2022-02-23T19:46:00Z,2022-02-28T02:43:00Z,completed,RU,DE,EU,oil_products,43550,32233706.7
2022-02-23T18:26:00Z,2022-02-24T20:20:00Z,completed,RU,RU,Others,oil_or_chemical,10908,7253121.888
2022-02-23T11:55:00Z,2022-03-06T02:34:00Z,completed,RU,CN,China,crude_oil,112723,71746160.1102567
2022-02-23T08:44:00Z,2022-02-26T00:08:00Z,completed,RU,DE,EU,oil_or_chemical,37332,27631429.128
2022-02-23T06:08:00Z,2022-03-07T02:20:00Z,completed,RU,TR,Turkey,oil_or_chemical,6574,4670478.578
2022-02-23T04:46:00Z,2022-02-24T23:40:00Z,completed,RU,RU,Others,oil_or_chemical,5404,3593314.144
2022-02-22T23:32:00Z,2022-02-27T05:07:00Z,completed,RU,SE,EU,oil_or_chemical,37623,27754712.838
2022-02-22T23:14:00Z,2022-03-03T09:44:00Z,completed,RU,MT,EU,oil_or_chemical,37432,27613810.992
2022-02-22T22:48:00Z,2022-03-03T11:36:00Z,completed,RU,GB,United Kingdom,oil_products,40558,29919879.948
2022-02-22T22:27:00Z,2022-03-11T16:55:00Z,completed,KZ,GB,United Kingdom,crude_oil,111932,67583704.46543857
2022-02-22T21:57:00Z,2022-03-20T22:26:00Z,completed,RU,BS,Others,crude_oil,114055,68865555.98761389
2022-02-22T21:36:00Z,2022-02-28T07:10:00Z,completed,RU,TR,Turkey,oil_or_chemical,7005,4960205.475
2022-02-22T17:25:00Z,2022-03-02T08:06:00Z,completed,RU,IT,EU,oil_or_chemical,38289,28246025.034
2022-02-22T17:10:00Z,2022-03-10T12:23:00Z,completed,RU,FR,EU,oil_or_chemical,40000,29508240
2022-02-22T14:44:00Z,2022-03-03T15:14:00Z,completed,RU,MT,EU,oil_or_chemical,37048,27330531.888
2022-02-22T08:50:00Z,2022-03-02T12:09:00Z,completed,RU,GB,United Kingdom,oil_or_chemical,38734,28574304.204
2022-02-22T08:12:00Z,2022-02-24T06:39:00Z,completed,RU,RU,Others,oil_products,5600,3710319.2
2022-02-22T05:51:00Z,2022-04-07T10:07:00Z,completed,KZ,ES,EU,crude_oil,112863,68145835.30253005
2022-02-22T04:01:00Z,2022-02-23T15:06:00Z,completed,RU,FI,EU,oil_or_chemical,17500,12909855
2022-02-22T02:14:00Z,2022-02-27T00:57:00Z,completed,RU,CN,China,crude_oil,113642,71757440.11898603
2022-02-22T00:08:00Z,2022-03-01T17:56:00Z,completed,RU,RU,Others,oil_products,7031,4658438.267
2022-02-21T20:53:00Z,2022-02-22T08:23:00Z,completed,RU,RU,Others,oil_products,8245,5445525.68
2022-02-21T20:52:00Z,2022-02-28T01:48:00Z,completed,KZ,TR,Turkey,crude_oil,163545,99550979.33707994
2022-02-21T16:30:00Z,2022-03-24T14:22:00Z,completed,RU,RU,Others,oil_or_chemical,7451,4921117.264
2022-02-21T15:49:00Z,2022-03-04T05:54:00Z,completed,RU,EG,Others,oil_or_chemical,5558,3670858.912
2022-02-21T15:16:00Z,2022-02-28T13:33:00Z,completed,RU,DE,EU,crude_oil,114385,69626945.31457329
2022-02-21T11:36:00Z,2022-02-21T23:55:00Z,completed,RU,FI,EU,oil_products,50973,37493546.961
2022-02-21T09:14:00Z,2022-02-22T06:33:00Z,completed,RU,TR,Turkey,oil_or_chemical,6308,4452760.428
2022-02-21T03:37:00Z,2022-03-02T04:37:00Z,completed,RU,FR,EU,oil_or_chemical,37836,27830534.652
2022-02-21T01:22:00Z,2022-03-28T18:18:00Z,completed,RU,ES,EU,oil_or_chemical,40095,29492157.915
2022-02-21T00:11:00Z,2022-02-22T20:25:00Z,completed,RU,LV,EU,oil_or_chemical,39067,28736005.319
2022-02-19T07:20:00Z,2022-04-15T11:17:00Z,completed,RU,CU,Others,crude_oil,103124,60934959.40057622
2022-02-20T23:31:00Z,2022-03-07T12:51:00Z,completed,RU,ES,EU,oil_or_chemical,37296,27358070.544
2022-02-20T19:34:00Z,2022-02-26T22:09:00Z,completed,RU,FR,EU,oil_or_chemical,49999,36676216.461
2022-02-20T19:10:00Z,2022-02-24T22:21:00Z,completed,RU,SE,EU,crude_oil,113563,67052922.06343246
